firstname,num_games_2013,avg_points_2013,num_games_2014,avg_points_2014,num_games_2015,avg_points_2015,num_games_2016wc,avg_points_2016wc,num_games_2016,avg_points_2016
"Al-Amin Hossain",,,,,,,4,46,,
"Amir Hamza",,,,,,,3,38,,
"Andre Fletcher",,,,,,,3,74,,
"Arafat Sunny",,,,,,,1,75,,
"Asghar Stanikzai",,,,,,,4,34,,
"Ashton Agar",,,,,,,1,27,,
"Ben Stokes",,,,,,,6,54,,
"Carlos Brathwaite",,,,,,,6,52,8,54
"Chamara Kapugedera",,,,,,,4,16,,
"Chris Jordan",,,,,,,6,56,9,42
"Dasun Shanaka",,,,,,,2,19,,
"David Willey",,,,,,,6,82,,
"Dawlat Zadran",,,,,,,2,10,,
"Denesh Ramdin",,,,,,,6,23,,
"Dinesh Chandimal",,,,,,,4,26,,
"Dushmantha Chameera",,,,,,,3,11,,
"Evin Lewis",,,,,,,1,-5,,
"Farhaan Behardien",,,,,,,1,105,3,6
"Grant Elliott",,,,,,,5,49,,
"Gulbadin Naib",,,,,,,3,28,,
"Hamid Hassan",,,,,,,2,17,,
"Hashim Amla",,,,,,,4,50,6,44
"Henry Nicholls",,,,,,,1,18,,
"Imad Wasim",,,,,,,3,43,,
"Ish Sodhi",,,,,,,5,87,,
"James Vince",,,,,,,1,41,,
"Jason Roy",,,,,,,6,58,,
"Jeffrey Vandersay",,,,,,,3,51,,
"Jerome Taylor",,,,,,,1,15,,
"Joe Root",,,,,,,6,89,,
"Johnson Charles",,,,,,,6,41,,
"Jos Buttler",,,,,,,6,65,14,33
"Kagiso Rabada",,,,,,,3,58,,
"Karim Sadiq",,,,,,,1,-10,,
"Khalid Latif",,,,,,,2,33,,
"Lahiru Thirimanne",,,,,,,4,10,,
"Liam Plunkett",,,,,,,4,34,,
"Luke Ronchi",,,,,,,5,34,,
Mahmudullah,,,,,,,4,36,,
"Marlon Samuels",,,,,,,6,63,,
"Martin Guptill",,,,,,,4,82,3,24
"Mashrafe Mortaza",,,,,,,4,16,,
"Milinda Siriwardana",,,,,,,4,26,,
"Mitchell Marsh",,,,,,,2,43,3,58
"Mitchell Santner",,,,,,,5,97,,
"Moeen Ali",,,,,,,6,58,,
"Mohammad Amir",,,,,,,4,38,,
"Mohammad Hafeez",,,,,,,2,56,,
"Mohammad Irfan",,,,,,,3,20,,
"Mohammad Mithun",,,,,,,4,11,,
"Mohammad Nabi",,,,,,,4,83,,
"Mohammad Sami",,,,,,,3,55,,
"Mohammad Shahzad",,,,,,,4,42,,
"Mushfiqur Rahim",,,,,,,4,12,,
"Mustafizur Rahman",,,,,,,3,116,16,47
"Najibullah Zadran",,,,,,,4,41,,
"Nathan McCullum",,,,,,,2,87,,
"Noor Ali Zadran",,,,,,,3,19,,
"Nuwan Kulasekara",,,,,,,2,21,,
"Peter Nevill",,,,,,,4,18,,
"Rangana Herath",,,,,,,4,41,,
"Rashid Khan",,,,,,,4,67,,
"Reece Topley",,,,,,,2,15,,
"Sabbir Rahman",,,,,,,4,41,,
"Samiullah Shenwari",,,,,,,4,49,,
"Saqlain Sajib",,,,,,,1,-5,,
"Sarfraz Ahmed",,,,,,,4,10,,
Shafiqullah,,,,,,,3,24,,
"Shahid Afridi",,,,,,,4,85,,
"Shapoor Zadran",,,,,,,2,13,,
"Sharjeel Khan",,,,,,,4,44,,
"Shehan Jayasuriya",,,,,,,2,3,,
"Shoaib Malik",,,,,,,4,44,,
"Shuvagata Hom",,,,,,,3,30,,
"Soumya Sarkar",,,,,,,4,14,,
"Sulieman Benn",,,,,,,6,30,,
"Suranga Lakmal",,,,,,,1,25,,
"Tamim Iqbal",,,,,,,3,24,,
"Taskin Ahmed",,,,,,,1,75,,
"Tillakaratne Dilshan",,,,,,,4,56,,
"Umar Akmal",,,,,,,4,27,,
"Usman Ghani",,,,,,,1,15,,
"Usman Khawaja",,,,,,,4,61,6,32
"Wahab Riaz",,,,,,,3,35,,
"Sachin Baby",,,,,,,,,11,27
"Tabraiz Shamsi",,,,,,,,,4,21
"Rishabh Pant",,,,,,,,,10,35
"Sam Billings",,,,,,,,,5,36
"Akshdeep Nath",,,,,,,,,4,5
"Ishan Kishan",,,,,,,,,5,13
"Pradeep Sangwan",,,,,,,,,2,1
"Sarabjit Ladda",,,,,,,,,1,2
"Shivil Kaushik",,,,,,,,,7,29
"Barinder Sran",,,,,,,,,14,34
"Rajagopal Sathish",,,,,,,,,4,15
"Ankit Rajpoot",,,,,,,,,4,22
"Krunal Pandya",,,,,,,,,12,63
"Peter Handscomb",,,,,,,,,2,0
"RP Singh",,,,,,,,,4,16
"Scott Boland",,,,,,,,,2,34
"Deepak Chahar",,,,,,,,,2,14
"Murugan Ashwin",,,,,,,,,10,22
"Nikhil Naik",,,,,,,,,2,22
"Swapnil Singh",,,,,,,,,1,-8
